11	10	758
4	10	758
8	10	758
5	33	497
12	33	497
0	50	632
16	10	758
10	10	758
19	33	497
14	10	758
7	16	224
1	10	758
0	33	497
9	6	126
4	18	411
4	10	758
15	28	435
2	11	298
2	44	587
10	11	298
0	21	128
17	10	758
5	11	298
12	6	126
12	17	751
15	16	224
0	42	991
13	33	156
13	33	497
10	33	497
1	28	435
17	50	632
20	18	411
20	6	126
11	39	136
7	18	818
13	4	308
1	33	156
13	49	986
4	28	449
20	20	690
9	6	433
16	49	986
17	17	751
17	47	356
17	49	986
10	28	233
5	28	435
7	6	126
8	4	609
9	19	214
6	25	814
4	3	567
9	3	265
11	46	75
0	27	642
12	7	771
15	49	986
18	10	84
15	22	124
19	4	510
1	39	136
18	27	676
19	19	214
1	13	423
7	3	265
10	13	423
14	16	224
18	18	448
13	4	308
1	18	411
5	43	735
3	46	257
7	44	179
4	28	233
5	33	703
18	12	110
13	34	993
12	21	627
13	27	642
5	47	356
20	9	255
13	20	449
2	27	676
17	34	993
7	33	483
12	6	433
12	21	224
18	44	587
12	3	265
9	7	104
19	13	423
2	6	887
16	19	214
13	6	433
9	43	735
3	27	676
9	19	214
3	6	433
8	48	355
